lang_id,lang_code,name_native,name_vi,name_en,enabled,is_default,fallback,auto_detect_map,font_group,sort_order,status
1,ko,한국어,Hàn,Korean,1,0,en,ko;ko-KR,cjk,1,
2,en,English,Anh,English,1,1,,en;en-*,latin,2,released
3,ja,日本語,Nhật Bản,Japanese,1,0,en,ja;ja-JP,cjk,3,
4,zh-Hant,繁體中文,Trung Phồn Thể,Chinese (Traditional),1,0,en,zh-TW;zh-HK;zh-MO;zh-Hant,cjk,4,
5,zh-Hans,简体中文,Trung Giản Thể,Chinese (Simplified),1,0,en,zh;zh-CN;zh-SG;zh-Hans,cjk,5,
6,vi,Tiếng Việt,Việt Nam,Vietnamese,1,0,en,vi;vi-VN,latin,6,released
7,th,ไทย,Thái Lan,Thai,1,0,en,th;th-TH,thai,7,
8,es,Español,Tây Ban Nha,Spanish,1,0,en,es;es-*,latin,8,
9,pt,Português,Bồ Đào Nha,Portuguese,1,0,en,pt;pt-BR;pt-PT,latin,9,
10,de,Deutsch,Đức,German,1,0,en,de;de-*,latin,10,
11,fr,Français,Pháp,French,1,0,en,fr;fr-*,latin,11,
12,it,Italiano,Ý,Italian,1,0,en,it;it-IT,latin,12,
13,idn,Bahasa Indonesia,Indonesia,Indonesian,1,0,en,id;in;id-ID,latin,13,